xID,yID,Div,Size0,Size4,Size30
689,1424,1,523,799,-1
749,980,0,490,616,809
825,1324,2,674,961,-1
837,1801,0,358,504,870
903,2651,2,541,858,-1
899,331,0,397,524,818
917,77,0,358,333,471
924,2601,0,392,592,986
978,1168,0,391,553,915
989,1598,0,406,576,891
1022,1476,0,423,643,909
1025,2818,0,480,655,1306
1048,2785,0,563,832,1531
1131,2141,0,545,904,1378
1167,2708,0,350,538,1123
1180,498,2,587,896,-1
1182,1039,0,470,643,972
1209,457,2,517,852,-1
1229,562,0,348,491,698
1264,2398,0,323,584,991
1312,270,0,525,787,949
1323,2317,0,485,720,1202
1325,106,0,266,215,293
1346,2572,2,480,761,-1
1349,704,0,369,571,728
1391,1799,2,585,869,-1
1438,727,0,464,639,808
1485,2074,2,481,757,-1
1502,2254,1,464,668,-1
1509,464,2,594,981,-1
1586,1333,0,506,795,1084
1591,743,0,358,541,715
1621,678,0,494,860,1076
1651,1409,1,369,629,-1
1688,743,0,568,946,1160
1692,343,2,567,941,-1
1733,1972,0,442,736,1173
1738,844,2,531,889,-1
1773,2081,0,472,652,1053
1780,1057,0,675,1154,1322
1837,141,0,560,882,998
1875,2254,0,446,692,1014
1907,1556,0,467,837,1055
1934,1011,0,515,851,1047
1949,334,1,515,697,-1
1987,1756,0,407,734,977
2016,1400,2,646,1259,-1
2021,2019,0,410,631,1020
2051,548,0,396,555,734
2059,668,0,554,951,1114
2060,2643,2,617,968,-1
2126,926,2,685,1247,-1
2128,1749,2,441,750,-1
2178,1246,1,378,624,-1
2248,2104,0,488,629,988
2324,160,2,602,1049,-1
2343,693,0,351,623,895
2367,1684,0,281,275,331
2440,335,1,493,764,-1
2523,1473,2,436,729,-1
2540,2535,0,487,729,1186
2549,1885,0,564,838,1130
2575,998,0,336,492,627
2584,733,0,330,503,631
2662,92,0,406,569,706
2671,284,2,499,799,-1
2692,1715,0,363,569,821
2703,2031,2,495,845,-1
2742,1956,0,293,435,620
2759,338,0,477,694,683
2833,343,0,540,795,869
2863,2437,0,411,633,1094
2882,246,2,482,864,-1
2911,97,0,419,648,810
2920,517,0,433,695,845
2924,1781,1,389,606,-1
2948,1281,0,506,808,959
2950,1683,0,565,857,939
2964,2756,0,496,820,1383
3003,641,2,660,1042,-1
3026,1713,0,412,686,870
3051,1029,2,530,889,-1
3091,564,0,539,733,832
3124,883,0,516,811,1075
3150,1967,0,576,1058,1345
3249,1956,0,560,878,1133
3267,903,2,505,926,-1
3290,948,0,318,527,588
3339,1826,2,535,938,-1
3370,2427,0,437,705,945
3375,312,1,421,680,-1
3384,432,0,335,573,791
3394,611,0,526,930,1104
3400,1678,2,532,974,-1
3421,1538,0,528,733,901
3542,506,1,498,838,-1
3605,1192,2,451,816,-1
3617,77,1,394,665,-1
3623,638,0,488,791,888
3638,1900,2,544,951,-1
77,2034,0,543,716,932
229,971,1,581,770,-1
367,323,1,483,657,-1
554,3059,0,497,823,1040
564,751,2,607,886,-1
575,2823,2,561,820,-1
681,561,0,563,810,1024
