xID,yID,Div0,Div6,Div12,Div18,Div24,Div30,Div36,Div48,Size0,Size6,Size12,Size18,Size24,Size30,Size36,Size48
2656,1525,0,2,0,0,2,0,0,0,1121,1800,2990,3244,3450,4009,4525,4556
2697,1799,0,0,0,0,0,2,0,0,533,644,1012,1110,1104,1402,1407,1416
3161,1326,0,2,0,0,0,1,0,0,1008,1632,2591,2795,2806,3189,3620,3797
229,2382,0,3,0,0,0,0,0,0,1465,2287,4534,4780,4888,5004,5320,5216
273,231,0,2,0,0,2,0,0,0,1531,1911,3120,3493,4024,4467,4727,4690
372,2154,0,3,0,0,0,0,0,0,1478,2218,3871,4058,4147,4143,4632,4431
416,280,0,2,0,0,0,1,0,0,973,1498,2402,2544,2679,3065,3332,3290
457,648,0,0,2,0,0,0,0,0,874,890,2123,2238,2249,2260,2367,2426
681,359,0,2,0,1,0,0,0,0,1337,2027,3680,4217,4477,4532,4960,4826
675,855,0,0,2,0,0,0,0,0,869,970,2151,2255,2234,2265,2612,2335
1013,2277,0,2,0,1,0,0,0,0,1334,1929,3384,3983,4050,4181,4627,4546
1109,1211,0,2,0,0,1,0,0,0,1304,1973,3350,3436,3700,4115,4765,4494
1143,930,0,0,2,0,0,0,0,0,949,1096,2305,2349,2384,2358,2549,2417
1264,1085,0,0,2,0,0,2,0,0,1028,1563,2516,2641,2814,3148,3522,3340
1573,433,0,2,0,0,0,2,0,0,1047,1690,2757,2855,3037,3423,3903,3825
1588,106,0,0,2,0,0,0,0,0,831,934,2192,2454,2436,2422,2406,2484
1680,1685,0,2,0,0,0,1,0,0,1243,1889,3363,3565,3796,3893,4707,4315
1694,1117,0,0,0,0,0,2,0,0,651,628,1026,1085,1061,1348,1416,1433
1853,265,0,0,0,0,0,0,0,0,620,747,1094,1182,1256,1167,1404,1247
1853,2563,0,0,0,0,0,2,0,0,632,628,1035,1090,1115,1384,1551,1499
2176,2503,0,2,0,0,0,2,0,0,1289,1928,3390,3550,3886,4066,4801,4490
2236,2756,0,2,0,2,0,0,0,0,1240,1920,3533,4015,4237,4229,4881,4514
2262,2286,0,2,0,0,0,1,0,0,1035,1597,2616,2727,2873,3164,3577,3447
2355,753,0,2,0,0,0,1,0,0,1232,1955,3238,3371,3566,3689,4262,3993
2432,1657,0,2,0,0,1,1,0,0,1276,1855,3307,3587,3895,4289,4736,4579
2691,2288,0,0,2,0,0,1,0,0,1087,2005,2672,2761,2830,2934,3447,3227
2898,1653,0,0,0,0,0,0,0,0,658,746,945,990,957,922,1145,933
3024,613,0,0,0,0,0,2,0,0,697,1006,1111,1177,1244,1565,1693,1583
3126,2155,0,0,2,0,0,0,0,0,740,1079,1901,2064,2125,2206,2177,1952
3157,1565,0,0,2,0,0,0,0,0,797,1105,2065,2203,2190,2201,2385,2296
92,963,0,2,0,1,1,0,0,0,1623,2282,4732,5490,6170,5999,5828,5651
232,388,0,0,0,0,0,2,0,0,505,539,988,1020,1140,1314,1355,2079
308,1370,0,0,2,0,0,0,0,0,840,937,1960,2024,2108,2052,2093,2177
311,1769,0,0,0,0,0,2,0,0,611,619,1015,1092,1278,1370,1405,1454
363,2358,0,0,0,0,0,0,0,0,661,646,693,690,688,705,704,733
389,415,0,0,0,0,0,0,0,0,562,586,1104,1125,1162,1071,1073,1336
420,78,0,0,2,0,0,0,0,0,838,961,2189,2281,2269,2194,2237,2393
428,2320,0,0,0,0,0,0,0,0,468,551,917,931,1028,944,967,1022
468,989,0,2,0,0,0,1,0,0,994,1453,2489,2576,2872,2791,2866,2969
483,2559,0,2,0,0,2,0,0,0,1352,1900,3204,3364,3895,4012,4117,4264
493,214,0,0,0,2,1,0,0,0,703,820,1717,1829,2435,2395,2400,2400
538,1674,0,2,0,0,0,2,0,0,1185,1736,3079,3160,3565,3851,3984,3892
659,2374,0,0,0,0,0,2,0,0,545,617,1208,1368,1347,1530,1502,1701
782,905,0,3,0,0,0,0,0,0,1776,2359,4380,4546,4918,4720,4793,4688
796,1889,0,3,0,0,0,0,0,0,1309,1883,2944,3031,3310,3204,3330,3323
796,1889,0,3,0,0,0,0,0,0,1309,1883,2944,3031,3310,3204,3330,3323
863,2404,0,2,0,0,1,0,0,0,1277,1875,3367,3600,4097,4074,4077,4038
895,1828,0,0,0,0,0,2,0,0,623,618,1162,1197,1250,1434,1429,1003
899,2242,0,0,0,0,0,2,0,0,552,536,853,946,1075,1221,1248,1745
911,1102,0,0,0,0,0,0,0,0,562,561,996,1065,1101,997,962,1243
927,662,0,0,0,0,0,0,0,0,477,500,814,824,940,866,898,880
