context,target,truth_genes,training_magnitude,training_disagreement,variance_eligible_genes,zero_mse,zero_cosine,global_template_mse,global_template_cosine,target_mean_mse,target_mean_cosine,global_shrink_mse,global_shrink_cosine,heterogeneity_shrink_mse,heterogeneity_shrink_cosine,permuted_target_mean_mse,permuted_target_mean_cosine
K562,TIGD1,6642,0.027450729934073805,0.07701132528026111,6642,0.08986109784823992,nan,0.11673391494107355,0.035481829734939345,0.11524804248078448,0.020776467998228236,0.09106082213573374,0.020776467998228236,0.08984266025415187,0.02077646816169526,0.17067788727113226,-0.010959515145213964
K562,TIMELESS,6642,0.1386258616980804,0.26825454458663217,6641,0.086695891670841,nan,0.10729452420080532,0.09703709238613999,0.19938728229954758,0.1182002709197287,0.0888801874547741,0.1182002709197287,0.0945700239964226,0.1182002716256431,0.32267160468500006,0.02784127895391549
K562,TIMM10,6642,0.0503469978875531,0.09977578449179016,6642,0.10499471984666896,nan,0.1278472776822898,0.06829229035243431,0.14363702399872114,0.08049326448755813,0.10521523377250729,0.08049326448755813,0.10682201805690374,0.08049326508266687,0.21248180982776785,0.05965293949109848
K562,TIMM13,6642,0.07869098417984069,0.11689390869300788,6642,0.05005731808113215,nan,0.07387691799820281,0.08655010313573827,0.10725071328437198,0.17126297417304145,0.049601107351851956,0.17126297417304145,0.05925018388825538,0.17126297506419505,0.3865607271719064,0.06131509241819501
K562,TIMM22,6642,0.1289766208682786,0.26735570992584007,6642,0.06849931681238228,nan,0.09468456921437078,0.04814927791865278,0.18706078882609087,0.055403457205660256,0.07395656841542259,0.055403457205660256,0.07742827614877934,0.05540345739706135,0.11648349533932711,0.02816393693862131
K562,TIMM23B,6642,0.09550026096054624,0.09911156608856674,6642,0.12009805851956804,nan,0.11871698418992441,0.26375033244101276,0.10069662244474704,0.5364462025674473,0.09734140050929277,0.5364462025674473,0.08579995731416011,0.5364462024215058,0.1665200092584056,0.08551991012266923
K562,TIMM44,6641,0.24486377710308396,0.23458579696679538,6642,0.19360767191323489,nan,0.186417135693883,0.24547844416273537,0.3123862981177757,0.28919853016803154,0.17742803917300787,0.28919853016803154,0.2210963891204054,0.28919853037065957,0.26344699499457075,0.18938754946775604
K562,TIMM8A,6642,0.025787690033216727,0.05846537702608515,6642,0.03495623820090223,nan,0.0663733099333517,-0.012590045333928995,0.05366280282875963,0.1179244170117985,0.03479768742863375,0.1179244170117985,0.03475841001692362,0.11792441778022875,0.11345191468316665,-0.011864749428047898
K562,TIMM9,6642,0.11634806849221224,0.21870739193473204,6642,0.030763900569142744,nan,0.059596767511838414,0.028696815258240548,0.13802657457142095,0.07593002023405522,0.03576430618449231,0.07593002023405522,0.04344663894793595,0.07593001999922967,0.28221349874813756,0.025308571998004983
K562,TINF2,6642,0.09911803496620948,0.1857127177377348,6642,0.07632021910629935,nan,0.09734682353005447,0.0989945914619519,0.15075649834186883,0.1418893857264936,0.0763446573552264,0.1418893857264936,0.0810133000978082,0.14188938625268538,0.09898241914836975,0.056654511186917854
K562,TIPIN,6642,0.14350158777921543,0.2549872396301233,6642,0.04713200716516993,nan,0.07548490868664297,0.029504276815578837,0.17962440477671027,0.06693280975997046,0.053348558862784994,0.06693280975997046,0.06635638027660376,0.06693280989423227,0.12544122392303958,0.009669191722919638
K562,TKT,6642,0.01359788484897088,0.037671109935298853,6642,0.025826990060320205,nan,0.05854552288616329,-0.03779702103128912,0.038527139769034935,0.023952213036425456,0.02645242408094472,0.023952213036425456,0.025837944628035965,0.02395221309912801,0.07415023336808688,0.007625087054495946
K562,TLCD1,6642,0.018381703945471683,0.054204612228545154,6642,0.031501003038887344,nan,0.06170483713696137,0.00627805163566411,0.05010506251177845,-0.004620221801240467,0.03270544841406724,-0.004620221801240467,0.03151014205002487,-0.004620221651558923,0.10493394908280254,0.015490839063746783
